Customer Query,Intent,,,,,,,
Do I get a refund if I cancel my car park online booking?,Parking,,,,,,,
Do I have to pay a fee to amend or cancel my booking?,Parking,,,,,,,
How do I extend my booking?,Parking,,,,,,,
"I have booked the wrong Terminal car park and want to change it, is this possible?",Parking,,,,,,,
I prebooked a specific terminal; can I park in another terminal?,Parking,,,,,,,
Can I make changes to the prepaid parking reservation?,Parking,,,,,,,
Can I drive a vehicle different from the reservation?,Parking,,,,,,,
How much is parking at RGI airport per day?,Parking,,,,,,,
Does RGIA have a valet parking facility?,Parking,,,,,,,
How do I amend my booking?,Parking,,,,,,,
 How do I book parking online? ,Parking,,,,,,,
Can I pre-book parking?,Parking,,,,,,,
How does Prepaid Parking Online work?  How do I book parking online?,Parking,,,,,,,
Is there a grace period when prepaying to park?,Parking,,,,,,,
 I prepaid online; do I have to specify what Terminal I am flying out of? Is there a special area I should park in and is my spot reserved?,Parking,,,,,,,
Can I have multiple upcoming reservations for the same car?,Parking,,,,,,,
What is the minimum length of stay required to prepay for parking?,Parking,,,,,,,
What is the maximum length of stay for prepaid parking?,Parking,,,,,,,
How can I extend my parking reservation?,Parking,,,,,,,
Give me parking charges about 2 wheelers.,Parking,,,,,,,
What are 2 wheeler parking charges.,Parking,,,,,,,
how to Pre book valet Parking service,Parking,,,,,,,
How do I pre book valet parking,Parking,,,,,,,
What are 4 wheeler parking charges.,Parking,,,,,,,
bus fare from rgia to jbs?,Bus,,,,,,,
bus fare from rgia to Secundrabad?,Bus,,,,,,,
bus fare from rgia to Secundrabad after ten in the evening?,Bus,,,,,,,
bus fare from jbs to rgia,Bus,,,,,,,
bus fare from jbs to secunderabad?,Bus,,,,,,,
bus fare from jbs to care hospitals?,Bus,,,,,,,
bus fare from jbs to nagole,Bus,,,,,,,
bus fare from rgia to miyapur,Bus,,,,,,,
bus fare from jbs to tarnaka,Bus,,,,,,,
bus fare from jbs to sangeeth,Bus,,,,,,,
bus route from rgia to jbs,Bus,,,,,,,
What is the bus fare from jbs to nagole,Bus,,,,,,,
What is the fare for bus from rgia to nagole,Bus,,,,,,,
what are the bus timings from rgia,Bus,,,,,,,
what route the bus takes for Balapur,Bus,,,,,,,
What is the route of the bus going to Balapur from RGIA ,Bus,,,,,,,
What is bus route from JBS to L.B.Nagar,Bus,,,,,,,
what are the bus departure timings from RGIA to JBS,Bus,,,,,,,
which is the next bus to nagole,Bus,,,,,,,
next bus to sangeeth,Bus,,,,,,,
what are the bus timings from jbs to rgia,Bus,,,,,,,
what are the bus timings for L.B.Nagar,Bus,,,,,,,
which bus takes to jbs and its timings,Bus,,,,,,,
Give me flight numbers of flights departing from Madras.,Flight,,,,,,,
Give me flight numbers of flights departing from MAA.,Flight,,,,,,,
Give me flight numbers of flights departing from MAA or DEL.,Flight,,,,,,,
When did flight with flight number 6E 464 land,Flight,,,,,,,
Give me the belt number for arriving flight no 6E 1314 ,Flight,,,,,,,
When does flight number 9I 871 leave?,Flight,,,,,,,
Give me details Flight numbers ariving from Delhi or Madras.,Flight,,,,,,,
Give me arrival details of flight no 6E 1314,Flight,,,,,,,
Give me details FLNO departing from Madras.,Flight,,,,,,,
Give me details FLNO ariving from DELHI and MAA.,Flight,,,,,,,
Give arrival details of 6E 464.,Flight,,,,,,,
Give STOA of 6E 464.,Flight,,,,,,,
"the flight number 9I 848 is arriving, give me belt  number  ",Flight,,,,,,,
"the flight number AI 544 is arriving, give me belt  number",Flight,,,,,,,
what is arrival time for flight 6E 2063  ,Flight,,,,,,,
what is the departure time for 6E 2063,Flight,,,,,,,
what is arrival time for 6E 626?  ,Flight,,,,,,,
what is the departure for flight 6E 626,Flight,,,,,,,
Is the flight QP 1418 on time ,Flight,,,,,,,
Is flight QP 1418 late?,Flight,,,,,,,
